time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 21:32:45:934,0.064,-0.006,-1.25,-4.7,-37.72,8.789,1.64,-7.17,-1.73,6.372,5.4,0.066
2026-5-17 21:32:45:954,0.051,0.025,-1.006,-8.057,-40.527,7.996,1.52,-6.28,-1.86,6.296,11.6,0.068
2026-5-17 21:32:45:974,0.058,0.006,-0.98,-15.198,-41.931,7.385,1.24,-5.38,-1.98,6.372,14.1,0.092
2026-5-17 21:32:45:994,0.065,-0.011,-1.181,-14.16,-43.64,6.836,0.92,-4.45,-2.09,6.368,14.1,0.03
2026-5-17 21:32:46:14,0.056,-0.013,-1.008,-9.46,-45.837,6.226,0.69,-3.5,-2.19,6.372,13.6,0.086
2026-5-17 21:32:46:34,0.063,0.014,-1.077,-10.498,-46.448,5.615,0.49,-2.53,-2.28,6.368,17.0,0.108
2026-5-17 21:32:46:54,0.066,0.007,-1.14,-16.174,-45.898,4.944,0.2,-1.58,-2.36,6.368,18.6,0.122
2026-5-17 21:32:46:74,0.058,-0.019,-1.025,-15.564,-46.448,4.089,-0.13,-0.64,-2.44,6.372,18.8,0.114
2026-5-17 21:32:46:94,0.063,-0.008,-1.126,-10.437,-46.997,3.601,-0.37,0.3,-2.5,6.368,19.5,0.124
2026-5-17 21:32:46:114,0.066,0.008,-1.111,-12.817,-46.997,3.235,-0.61,1.24,-2.57,6.368,20.5,0.128
2026-5-17 21:32:46:134,0.057,-0.005,-1.063,-15.747,-47.913,2.38,-0.91,2.16,-2.61,5.912,731.9,8.412
2026-5-17 21:32:46:154,0.062,-0.015,-1.125,-15.137,-48.706,1.465,-1.22,3.1,-2.65,5.804,369.7,4.41
2026-5-17 21:32:46:174,0.085,-0.034,-1.436,-9.338,-49.072,1.099,-1.47,4.04,-2.68,5.992,1152.5,6.314
2026-5-17 21:32:46:194,0.071,0.047,-1.237,-11.169,-49.377,0.244,-1.6,4.98,-2.71,6.032,785.8,6.594
2026-5-17 21:32:46:214,0.086,0.047,-1.098,-30.396,-47.546,-1.831,-2.06,5.88,-2.7,6.036,578.6,5.036
2026-5-17 21:32:46:234,0.065,-0.061,-1.234,-29.175,-47.18,-2.075,-2.65,6.76,-2.69,6.312,522.8,1.92
2026-5-17 21:32:46:254,0.072,-0.048,-1.174,-9.277,-46.936,-2.075,-2.96,7.61,-2.68,6.26,389.6,1.412
2026-5-17 21:32:46:274,0.075,0.03,-0.956,-4.883,-45.898,-3.235,-3.03,8.44,-2.65,6.372,3.3,0.03
2026-5-17 21:32:46:294,0.066,0.017,-1.0,-12.207,-46.753,-4.395,-3.18,9.26,-2.6,6.372,373.7,0.02
2026-5-17 21:32:46:314,0.057,-0.018,-1.059,-17.578,-44.739,-4.761,-3.46,10.05,-2.54,6.376,8.9,0.086
2026-5-17 21:32:46:334,0.032,-0.057,-0.942,-12.695,-45.166,-5.615,-3.72,10.83,-2.48,7.372,303.0,0.522
2026-5-17 21:32:46:354,0.056,-0.047,-1.036,-3.052,-43.03,-6.409,-3.8,11.57,-2.39,6.228,381.0,0.088
2026-5-17 21:32:46:374,0.061,0.002,-1.014,-3.418,-41.992,-7.08,-3.77,12.29,-2.29,6.5,689.6,0.458
2026-5-17 21:32:46:394,0.073,0.018,-0.965,-13.733,-39.429,-7.996,-3.91,12.95,-2.16,6.884,25.0,0.026
2026-5-17 21:32:46:414,0.059,-0.034,-1.025,-15.93,-36.316,-9.033,-4.16,13.55,-2.03,6.356,30.0,0.118
2026-5-17 21:32:46:434,0.063,-0.042,-1.066,-6.836,-35.583,-9.644,-4.3,14.11,-1.87,6.28,32.7,0.032
2026-5-17 21:32:46:454,0.061,-0.012,-0.97,-2.747,-33.813,-9.888,-4.29,14.63,-1.7,6.292,31.5,0.302
2026-5-17 21:32:46:474,0.062,0.003,-1.005,-8.606,-31.494,-10.742,-4.32,15.11,-1.52,6.38,4.1,0.026
2026-5-17 21:32:46:494,0.062,-0.03,-1.041,-11.78,-30.09,-11.78,-4.45,15.55,-1.3,6.376,4.9,0.032
2026-5-17 21:32:46:514,0.063,-0.04,-0.968,-7.202,-28.259,-12.146,-4.53,15.95,-1.08,6.376,5.1,0.032
2026-5-17 21:32:46:534,0.064,-0.021,-1.001,-2.502,-25.879,-12.39,-4.5,16.31,-0.85,6.372,5.5,0.036
2026-5-17 21:32:46:554,0.065,-0.01,-0.985,-5.493,-22.461,-13.428,-4.48,16.6,-0.6,6.376,4.8,0.032
2026-5-17 21:32:46:574,0.063,-0.027,-0.966,-6.409,-19.958,-13.916,-4.49,16.83,-0.33,6.376,5.4,0.032
2026-5-17 21:32:46:594,0.063,-0.031,-0.987,-3.174,-16.724,-14.221,-4.45,17.0,-0.04,6.376,5.5,0.032
2026-5-17 21:32:46:614,0.063,-0.022,-0.953,-0.732,-13.672,-14.526,-4.36,17.11,0.24,6.372,5.8,0.04
2026-5-17 21:32:46:634,0.058,-0.016,-0.961,-2.38,-11.23,-15.137,-4.26,17.16,0.55,6.376,6.0,0.04
2026-5-17 21:32:46:654,0.064,-0.028,-0.958,-3.418,-9.033,-15.381,-4.2,17.16,0.87,6.376,5.2,0.036
2026-5-17 21:32:46:674,0.061,-0.029,-0.951,-0.244,-6.348,-15.442,-4.1,17.12,1.19,6.376,5.9,0.04
2026-5-17 21:32:46:694,0.061,-0.021,-0.956,1.282,-3.723,-15.93,-3.96,17.03,1.53,6.376,5.2,0.036
2026-5-17 21:32:46:714,0.064,-0.019,-0.95,0.0,-1.343,-16.357,-3.81,16.89,1.87,6.372,5.2,0.03
2026-5-17 21:32:46:734,0.064,-0.029,-0.953,-0.427,1.77,-16.235,-3.69,16.68,2.22,6.376,4.7,0.032
2026-5-17 21:32:46:754,0.065,-0.036,-0.956,2.014,5.798,-16.357,-3.54,16.41,2.57,5.84,1189.2,11.298
2026-5-17 21:32:46:774,0.063,-0.02,-0.959,4.089,8.789,-16.479,-3.34,16.07,2.93,6.22,314.9,2.434
2026-5-17 21:32:46:794,0.062,0.011,-0.928,0.061,11.658,-16.663,-3.18,15.68,3.29,6.028,998.9,0.39
2026-5-17 21:32:46:814,0.063,-0.076,-0.926,-1.953,14.587,-16.296,-3.13,15.23,3.65,6.176,471.0,3.84
2026-5-17 21:32:46:834,0.048,-0.04,-0.931,12.939,17.456,-16.052,-2.85,14.74,4.0,6.188,409.5,3.696
2026-5-17 21:32:46:854,0.062,0.011,-0.847,9.583,19.958,-16.357,-2.5,14.19,4.36,6.3,264.4,2.314
2026-5-17 21:32:46:874,0.056,-0.005,-0.861,-3.235,22.705,-16.418,-2.38,13.6,4.71,6.288,2.8,0.02
2026-5-17 21:32:46:894,0.069,-0.011,-0.908,-6.775,24.292,-16.113,-2.41,12.97,5.06,6.376,3.0,0.016
2026-5-17 21:32:46:914,0.046,-0.046,-0.915,0.671,26.672,-15.991,-2.37,12.29,5.4,6.328,201.6,0.508
2026-5-17 21:32:46:934,0.07,-0.029,-0.958,13.916,28.625,-15.259,-2.09,11.59,5.73,6.552,295.7,0.258
2026-5-17 21:32:46:954,0.039,0.001,-0.999,11.23,31.25,-14.648,-1.74,10.85,6.05,6.08,76.2,0.304
2026-5-17 21:32:46:974,0.102,0.058,-1.362,-2.686,36.133,-14.893,-1.6,10.05,6.35,6.112,524.0,0.324
2026-5-17 21:32:46:994,0.063,-0.083,-1.338,-1.831,38.635,-14.587,-1.61,9.18,6.66,6.384,3.9,1.18
2026-5-17 21:32:47:14,0.059,-0.056,-1.036,9.216,39.368,-13.489,-1.47,8.29,6.95,6.376,12.2,0.03
2026-5-17 21:32:47:34,0.062,0.01,-1.106,12.695,39.062,-12.695,-1.16,7.42,7.22,6.36,30.6,0.032
2026-5-17 21:32:47:54,0.063,0.016,-1.086,3.54,40.222,-12.512,-0.99,6.54,7.48,6.388,14.0,0.168
2026-5-17 21:32:47:74,0.066,-0.019,-1.111,-1.77,41.565,-12.146,-0.99,5.65,7.73,6.388,24.3,0.2
2026-5-17 21:32:47:94,0.063,-0.047,-1.023,5.676,42.542,-10.742,-0.93,4.75,7.96,6.372,13.7,0.104
2026-5-17 21:32:47:114,0.07,-0.006,-1.09,11.23,45.105,-10.193,-0.7,3.81,8.16,6.36,38.1,0.086
2026-5-17 21:32:47:134,0.07,0.016,-1.083,4.333,48.706,-9.521,-0.55,2.83,8.35,6.368,4.5,0.466
2026-5-17 21:32:47:154,0.065,-0.021,-1.069,-0.366,50.415,-8.789,-0.54,1.8,8.53,6.368,19.3,0.128
2026-5-17 21:32:47:174,0.065,-0.028,-1.107,6.47,51.27,-7.568,-0.47,0.76,8.68,6.368,22.9,0.14
2026-5-17 21:32:47:194,0.057,-0.003,-1.082,8.606,51.086,-6.653,-0.3,-0.27,8.81,6.368,29.6,0.18
2026-5-17 21:32:47:214,0.059,0.013,-1.099,2.747,50.11,-6.042,-0.2,-1.27,8.92,6.364,22.5,0.176
2026-5-17 21:32:47:234,0.061,-0.017,-1.109,2.197,48.828,-4.822,-0.18,-2.23,9.01,5.624,2017.9,8.71
2026-5-17 21:32:47:254,0.063,-0.018,-1.094,6.287,48.767,-3.784,-0.1,-3.18,9.09,6.012,384.4,10.394
2026-5-17 21:32:47:274,0.064,-0.026,-1.242,7.385,50.171,-2.93,0.03,-4.11,9.14,6.076,346.5,5.508
2026-5-17 21:32:47:294,0.072,0.017,-1.465,11.78,51.147,-1.343,0.26,-5.07,9.16,6.044,897.6,5.27
2026-5-17 21:32:47:314,0.067,0.029,-0.938,-5.432,51.697,-1.16,0.26,-6.03,9.16,6.128,859.4,4.934
2026-5-17 21:32:47:334,0.048,-0.076,-1.231,-7.996,52.246,-0.427,0.05,-6.99,9.16,6.188,473.1,3.614
2026-5-17 21:32:47:354,0.078,-0.026,-1.133,8.85,49.683,0.977,0.09,-7.9,9.14,6.248,496.4,0.812
2026-5-17 21:32:47:374,0.056,0.017,-1.017,9.399,49.5,2.136,0.31,-8.79,9.08,6.372,199.7,0.056
2026-5-17 21:32:47:394,0.043,-0.007,-1.004,2.625,48.218,2.502,0.41,-9.65,9.01,6.376,3.3,0.02
2026-5-17 21:32:47:414,0.03,-0.022,-1.043,2.93,47.119,3.418,0.47,-10.48,8.93,6.376,12.2,0.036
2026-5-17 21:32:47:434,0.058,0.005,-0.953,3.784,45.837,4.578,0.55,-11.26,8.82,6.936,158.9,0.262
2026-5-17 21:32:47:454,0.056,-0.018,-0.984,7.141,44.617,5.31,0.67,-12.02,8.69,6.232,2.6,1.13
2026-5-17 21:32:47:474,0.049,-0.002,-1.032,10.193,43.823,6.409,0.88,-12.76,8.55,6.304,125.9,1.084
2026-5-17 21:32:47:494,0.069,0.031,-0.972,2.319,43.03,7.202,1.03,-13.45,8.38,6.676,132.6,1.93
2026-5-17 21:32:47:514,0.054,0.002,-0.99,-0.488,41.504,7.69,1.07,-14.12,8.2,6.46,17.7,0.492
2026-5-17 21:32:47:534,0.059,-0.017,-1.083,5.493,38.513,8.484,1.15,-14.73,8.0,6.352,164.7,0.154
2026-5-17 21:32:47:554,0.054,0.016,-0.981,6.775,35.461,9.399,1.35,-15.28,7.79,6.376,5.0,0.026
2026-5-17 21:32:47:574,0.054,0.015,-0.992,0.122,33.447,10.071,1.45,-15.77,7.56,6.376,5.7,0.036
2026-5-17 21:32:47:594,0.059,-0.008,-1.055,1.709,30.579,10.559,1.51,-16.19,7.32,6.38,5.5,0.036
2026-5-17 21:32:47:614,0.052,0.006,-0.965,3.479,28.442,11.475,1.63,-16.57,7.07,6.38,5.9,0.04
2026-5-17 21:32:47:634,0.052,0.0,-1.001,2.869,26.978,12.146,1.75,-16.9,6.8,6.376,5.9,0.036
2026-5-17 21:32:47:654,0.052,0.01,-0.992,3.296,24.292,12.573,1.88,-17.19,6.52,6.376,5.6,0.04
2026-5-17 21:32:47:674,0.053,0.008,-0.962,0.0,22.156,12.939,1.98,-17.42,6.23,6.376,5.9,0.036
2026-5-17 21:32:47:694,0.054,-0.008,-0.989,1.038,19.531,13.428,2.05,-17.61,5.94,6.376,6.0,0.04
2026-5-17 21:32:47:714,0.048,0.006,-0.956,2.747,15.869,14.099,2.18,-17.72,5.64,6.376,7.0,0.042
2026-5-17 21:32:47:734,0.052,0.009,-0.965,1.648,11.963,14.282,2.29,-17.75,5.33,6.376,6.6,0.042
