time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-18 0:8:39:944,0.045,0.007,-0.639,4.456,37.842,2.38,2.09,-20.95,-2.53,7.012,1.300,0.010
2026-5-18 0:8:39:964,0.078,0.018,-1.206,-9.827,36.316,1.77,2.02,-21.42,-2.61,6.996,26.800,0.200
2026-5-18 0:8:39:984,0.071,-0.068,-1.228,-9.338,32.227,2.075,1.78,-21.83,-2.69,6.992,30.900,0.222
2026-5-18 0:8:40:4,0.049,-0.064,-0.777,6.348,26.978,3.845,1.81,-22.13,-2.79,6.996,30.100,0.216
2026-5-18 0:8:40:24,0.067,-0.01,-0.964,11.169,23.621,4.272,2.05,-22.35,-2.91,6.996,31.200,0.220
2026-5-18 0:8:40:44,0.069,0.009,-1.058,0.61,20.874,3.967,2.17,-22.51,-3.02,6.996,32.200,0.216
2026-5-18 0:8:40:64,0.053,-0.031,-0.832,-5.676,18.005,3.601,2.1,-22.61,-3.11,6.996,31.700,0.220
2026-5-18 0:8:40:84,0.062,-0.047,-0.997,0.122,13.977,4.456,2.07,-22.64,-3.21,6.992,31.200,0.220
2026-5-18 0:8:40:104,0.062,-0.022,-0.939,4.944,10.742,5.066,2.18,-22.59,-3.32,6.996,28.800,0.220
2026-5-18 0:8:40:124,0.058,-0.006,-0.838,2.258,8.179,5.371,2.27,-22.49,-3.44,6.996,31.500,0.220
2026-5-18 0:8:40:144,0.063,-0.009,-1.001,-3.906,4.761,5.005,2.26,-22.34,-3.55,6.996,31.400,0.200
2026-5-18 0:8:40:164,0.059,-0.044,-0.918,-4.15,-0.061,5.188,2.18,-22.09,-3.65,6.996,28.800,0.216
2026-5-18 0:8:40:184,0.056,-0.042,-0.871,2.258,-3.418,5.859,2.2,-21.77,-3.76,6.996,32.100,0.226
2026-5-18 0:8:40:204,0.062,-0.012,-0.973,2.075,-6.897,6.409,2.29,-21.38,-3.87,6.996,31.600,0.220
2026-5-18 0:8:40:224,0.057,-0.012,-0.915,-4.456,-11.23,5.798,2.26,-20.93,-3.98,6.992,30.500,0.220
2026-5-18 0:8:40:244,0.062,-0.039,-0.923,-6.042,-15.076,5.798,2.14,-20.4,-4.07,6.996,29.600,0.204
2026-5-18 0:8:40:264,0.061,-0.044,-0.957,-0.488,-17.822,6.531,2.1,-19.81,-4.16,6.996,31.300,0.230
2026-5-18 0:8:40:284,0.062,-0.015,-0.932,0.916,-20.63,6.714,2.14,-19.17,-4.27,6.996,31.700,0.210
2026-5-18 0:8:40:304,0.061,-0.003,-0.972,-5.92,-23.987,6.348,2.09,-18.48,-4.37,6.996,31.500,0.222
2026-5-18 0:8:40:324,0.068,-0.04,-0.97,-8.362,-27.1,6.104,1.93,-17.73,-4.45,6.996,31.800,0.222
2026-5-18 0:8:40:344,0.063,-0.046,-0.956,-1.892,-30.151,6.958,1.85,-16.94,-4.54,6.992,31.500,0.220
2026-5-18 0:8:40:364,0.061,-0.011,-1.0,-0.183,-33.63,6.897,1.86,-16.08,-4.64,6.996,31.700,0.222
2026-5-18 0:8:40:384,0.065,-0.003,-1.001,-8.24,-37.781,6.47,1.77,-15.16,-4.72,6.996,32.100,0.226
2026-5-18 0:8:40:404,0.066,-0.041,-1.005,-9.705,-40.1,6.165,1.56,-14.19,-4.8,6.996,31.700,0.220
2026-5-18 0:8:40:424,0.067,-0.046,-1.027,-3.357,-42.786,6.958,1.45,-13.18,-4.88,6.996,31.600,0.222
2026-5-18 0:8:40:444,0.069,-0.009,-1.04,-2.869,-45.349,6.836,1.42,-12.13,-4.97,6.996,28.900,0.220
2026-5-18 0:8:40:464,0.074,-0.012,-1.055,-10.315,-47.363,6.287,1.27,-11.05,-5.04,6.992,28.900,0.204
2026-5-18 0:8:40:484,0.072,-0.042,-1.064,-10.315,-48.828,6.104,1.04,-9.95,-5.11,6.992,29.100,0.204
2026-5-18 0:8:40:504,0.071,-0.041,-1.076,-5.127,-51.086,6.348,0.91,-8.83,-5.19,6.992,31.800,0.220
2026-5-18 0:8:40:524,0.071,-0.009,-1.094,-6.042,-54.016,6.165,0.82,-7.66,-5.26,7.000,31.700,0.230
2026-5-18 0:8:40:544,0.079,-0.018,-1.105,-10.925,-55.542,5.737,0.63,-6.47,-5.33,6.996,31.600,0.222
2026-5-18 0:8:40:564,0.074,-0.036,-1.111,-10.803,-57.739,5.798,0.41,-5.26,-5.41,6.992,31.900,0.222
2026-5-18 0:8:40:584,0.074,-0.032,-1.123,-6.958,-59.692,5.981,0.25,-4.02,-5.48,6.996,31.800,0.220
2026-5-18 0:8:40:604,0.082,-0.021,-1.139,-8.606,-60.974,5.371,0.1,-2.76,-5.55,6.240,1812.200,11.750
2026-5-18 0:8:40:624,0.079,-0.021,-1.142,-10.925,-60.608,5.31,-0.1,-1.52,-5.61,6.296,1592.400,9.276
2026-5-18 0:8:40:644,0.101,-0.045,-1.371,-11.475,-61.829,4.761,-0.32,-0.27,-5.69,6.572,1046.800,7.246
